#{"t_start": 1532378091.8651683, "env_id": "CartPole-v0"}
r,l,t
12.0,12,4.848604
11.0,11,4.871765
21.0,21,4.916217
24.0,24,4.976595
15.0,15,5.011237
15.0,15,5.042944
14.0,14,5.070767
18.0,18,5.105626
13.0,13,5.130924
10.0,10,5.149799
11.0,11,5.171408
9.0,9,5.189201
14.0,14,5.217098
34.0,34,5.283564
20.0,20,5.322796
25.0,25,5.37234
17.0,17,5.405625
26.0,26,5.456851
14.0,14,5.484627
29.0,29,5.54107
17.0,17,5.5746
20.0,20,5.613303
13.0,13,5.638803
15.0,15,5.667751
27.0,27,5.719642
15.0,15,5.749857
10.0,10,5.769685
14.0,14,5.797368
21.0,21,5.838289
20.0,20,5.877664
21.0,21,5.918406
28.0,28,5.972945
45.0,45,6.060874
26.0,26,6.111738
15.0,15,6.141317
19.0,19,6.68774
9.0,9,7.118418
10.0,10,7.658627
10.0,10,8.98242
9.0,9,9.469258
11.0,11,10.066216
9.0,9,10.529269
9.0,9,10.970089
10.0,10,12.064849
10.0,10,12.616415
10.0,10,13.134455
9.0,9,13.566794
8.0,8,13.954845
10.0,10,14.861681
9.0,9,15.39228
9.0,9,15.865275
9.0,9,16.302598
8.0,8,16.687488
9.0,9,17.128556
15.0,15,18.218084
19.0,19,19.228988
10.0,10,19.716959
14.0,14,20.747335
16.0,16,21.636054
22.0,22,22.723249
22.0,22,24.713582
16.0,16,25.550939
12.0,12,26.130188
17.0,17,27.564332
15.0,15,28.29306
13.0,13,28.920637
23.0,23,30.612316
19.0,19,31.558744
11.0,11,32.088407
14.0,14,33.058361
50.0,50,35.999722
11.0,11,36.669499
39.0,39,39.029963
10.0,10,39.530032
97.0,97,45.030333
11.0,11,45.565303
52.0,52,49.051029
18.0,18,49.928102
57.0,57,53.344655
42.0,42,56.091034
14.0,14,57.46677
16.0,16,58.265827
108.0,108,64.421763
73.0,73,68.490353
20.0,20,69.526031
110.0,110,75.7627
105.0,105,81.68086
101.0,101,87.810657
79.0,79,92.361197
175.0,175,102.108368
200.0,200,113.587238
200.0,200,125.866663
200.0,200,136.962923
200.0,200,148.148252
190.0,190,159.465944
200.0,200,171.276887
136.0,136,179.246237
200.0,200,190.30207
136.0,136,198.931585
200.0,200,210.519567
185.0,185,220.98489
179.0,179,231.915494
200.0,200,243.34854
138.0,138,251.213843
148.0,148,260.201056
182.0,182,270.908919
155.0,155,279.787271
200.0,200,291.250504
116.0,116,298.02119
156.0,156,306.932337
134.0,134,314.395149
132.0,132,322.145979
142.0,142,331.217654
153.0,153,340.163006
146.0,146,348.922458
134.0,134,357.19716
105.0,105,363.743223
103.0,103,370.015243
117.0,117,376.647701
101.0,101,382.802404
111.0,111,389.206473
98.0,98,395.523788
106.0,106,401.9973
101.0,101,408.402096
98.0,98,414.142632
106.0,106,420.816592
103.0,103,426.879132
100.0,100,432.715725
111.0,111,439.364976
108.0,108,445.849808
114.0,114,452.926771
121.0,121,460.193273
106.0,106,467.084095
101.0,101,473.112937
105.0,105,478.934313
106.0,106,485.329846
99.0,99,491.51074
102.0,102,497.918103
100.0,100,503.666524
108.0,108,510.068706
101.0,101,515.888241
96.0,96,521.389211
95.0,95,527.020826
101.0,101,533.127889
100.0,100,538.844282
