#{"t_start": 1532379210.9432285, "env_id": "CartPole-v0"}
r,l,t
10.0,10,3.193152
22.0,22,3.229198
41.0,41,3.296184
16.0,16,3.327221
14.0,14,3.351326
18.0,18,3.38311
18.0,18,3.413282
15.0,15,3.438141
55.0,55,3.526488
10.0,10,3.542282
27.0,27,3.583624
72.0,72,3.697828
13.0,13,3.718443
15.0,15,3.742541
29.0,29,3.788135
41.0,41,3.85266
36.0,36,3.909357
20.0,20,3.940963
18.0,18,3.968976
14.0,14,3.99041
19.0,19,4.020556
10.0,10,4.036272
35.0,35,4.092389
34.0,34,4.145145
18.0,18,4.172747
13.0,13,4.193821
35.0,35,4.271972
40.0,40,5.496457
9.0,9,5.715775
9.0,9,5.934615
10.0,10,6.174639
9.0,9,6.391153
10.0,10,6.71097
9.0,9,6.959902
10.0,10,7.244775
9.0,9,7.461854
12.0,12,7.783868
10.0,10,8.099689
10.0,10,8.341267
10.0,10,8.581887
10.0,10,8.820516
8.0,8,9.011029
8.0,8,9.199552
10.0,10,9.533742
10.0,10,9.774864
9.0,9,9.991818
10.0,10,10.234451
10.0,10,10.473558
10.0,10,10.820378
10.0,10,11.057187
9.0,9,11.270107
10.0,10,11.506574
10.0,10,11.744762
9.0,9,12.051303
9.0,9,12.270759
8.0,8,12.464821
9.0,9,12.682756
8.0,8,12.88045
9.0,9,13.100463
10.0,10,13.576303
8.0,8,13.796374
9.0,9,14.036377
10.0,10,14.298545
11.0,11,14.591689
