#{"t_start": 1532378051.8137507, "env_id": "CartPole-v0"}
r,l,t
21.0,21,3.256278
18.0,18,3.294816
19.0,19,3.335069
15.0,15,3.369123
18.0,18,3.408148
21.0,21,3.45045
14.0,14,3.47823
18.0,18,3.513911
12.0,12,3.53758
25.0,25,3.587053
11.0,11,3.608327
28.0,28,3.664732
26.0,26,3.715513
12.0,12,3.73916
15.0,15,3.769146
17.0,17,3.802826
24.0,24,3.849843
18.0,18,3.886099
13.0,13,3.911764
14.0,14,3.939896
30.0,30,3.99886
14.0,14,4.026658
31.0,31,4.08733
18.0,18,4.123159
14.0,14,4.150584
21.0,21,4.192099
12.0,12,4.215608
11.0,11,4.237117
32.0,32,4.299242
22.0,22,4.342365
14.0,14,4.369607
14.0,14,4.397046
17.0,17,4.429929
19.0,19,4.466799
14.0,14,4.494514
18.0,18,4.529497
14.0,14,4.889908
22.0,22,5.969518
10.0,10,6.783035
9.0,9,7.238976
11.0,11,7.794421
11.0,11,8.344044
12.0,12,8.947014
12.0,12,9.764666
10.0,10,10.278234
11.0,11,10.847114
11.0,11,11.450376
22.0,22,12.669204
18.0,18,13.572286
31.0,31,15.194512
10.0,10,15.692333
15.0,15,16.439951
16.0,16,17.309406
11.0,11,17.929553
10.0,10,18.430619
9.0,9,18.879968
13.0,13,19.527818
20.0,20,20.609057
12.0,12,21.205278
28.0,28,22.708587
18.0,18,23.648604
12.0,12,24.26971
11.0,11,24.825153
12.0,12,25.505867
25.0,25,26.754587
12.0,12,27.353628
17.0,17,28.268838
23.0,23,29.434022
39.0,39,31.483899
18.0,18,32.380966
12.0,12,33.07618
16.0,16,33.875218
57.0,57,36.827734
42.0,42,39.034468
11.0,11,39.586597
15.0,15,40.405196
22.0,22,41.764163
34.0,34,43.623285
27.0,27,45.043099
64.0,64,48.31935
112.0,112,54.438775
36.0,36,56.343686
63.0,63,59.799121
100.0,100,65.219683
200.0,200,75.883393
200.0,200,86.52348
200.0,200,97.186274
200.0,200,107.893814
170.0,170,117.12252
200.0,200,127.957182
18.0,18,128.871624
200.0,200,139.441318
30.0,30,141.094161
200.0,200,151.989387
200.0,200,163.018771
200.0,200,173.836146
200.0,200,184.421341
136.0,136,191.677557
200.0,200,202.339831
200.0,200,212.912767
108.0,108,218.621595
200.0,200,229.582126
34.0,34,231.429547
200.0,200,242.418732
126.0,126,249.087522
100.0,100,254.428176
200.0,200,265.321724
58.0,58,268.723012
200.0,200,279.610926
52.0,52,282.834463
18.0,18,283.865047
200.0,200,294.695266
36.0,36,296.559831
200.0,200,307.819112
137.0,137,315.130067
20.0,20,316.153692
200.0,200,327.237983
200.0,200,338.580669
199.0,199,349.751066
200.0,200,360.658767
200.0,200,371.696075
89.0,89,377.138333
177.0,177,387.008135
189.0,189,397.229339
97.0,97,402.36309
200.0,200,413.65091
200.0,200,424.972236
200.0,200,436.095875
200.0,200,447.398428
193.0,193,458.417134
200.0,200,469.672974
200.0,200,480.418342
200.0,200,491.301061
200.0,200,502.331925
200.0,200,513.904005
200.0,200,524.969059
200.0,200,536.6142
200.0,200,547.408714
110.0,110,553.762651
200.0,200,564.474961
126.0,126,571.115192
